Do you agree to participate in this survey?  ,Which faculty are you from?,What is your current year of study?,"In your own words, what does sustainability mean to you as a university student?  ","What do you know about the Sustainable Development Goals (SDGs), if any?  ",What is your overall opinion on Universiti Malaya’s efforts toward sustainability and the SDGs?  ,How satisfied are you with UM’s sustainability initiatives?  ,Can you describe any sustainability-related practices you personally follow as a UM student (or explain why you do not)?  ,Have you ever participated in sustainability-related activities or programs at UM?  ,What challenges or difficulties do you think prevent UM students from practicing sustainability on campus?  ,What suggestions do you have to improve sustainability practices and awareness among UM students?  ,Do you have any additional comments or opinions related to sustainability or the SDGs at Universiti Malaya?  ,raw_text,clean_text,label_id,label,sdg_topics_multi,wc_text
"Yes, I agree",Faculty of Medicine,Year 3,it means keeping our campus green and clean,i know them well especially the one about education,"i like that um have made changes like electric buses, it makes me feel happy",5,i walk to class to enjoy the fresh air and save gas,Not sure,maybe new students dont know about sustainability and sdg yet but they will learn,put more colorful bins so people like to use them,i wish um can have higher impact towards sdg,"it means keeping our campus green and clean i know them well especially the one about education i like that um have made changes like electric buses, it makes me feel happy i walk to class to enjoy the fresh air and save gas maybe new students dont know about sustainability and sdg yet but they will learn put more colorful bins so people like to use them i wish um can have higher impact towards sdg",it mean keeping our campus green and clean i know them well especially the one about education i like that um have made change like electric bus it make me feel happy i walk to class to enjoy the fresh air and save gas maybe new student dont know about sustainability and sdg yet but they will learn put more colorful bin so people like to use them i wish um can have higher impact towards sdg,2,positive,"['SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",mean keeping campus green clean know especially education like um change like electric bus make feel happy walk class enjoy fresh air save gas maybe new student dont know sustainability sdg learn colorful bin people like use wish um higher impact sdg
"Yes, I agree",Faculty of Medicine,Year 3,using resources responsibly without wasting them,heard about them in class a few times,"seems like a standard procedure for universities now, um also have some initiatives",4,bringing my own reusable bag when i remember to,No,convenience is the main factor for most students,maybe put more signs to remind people,no comment,"using resources responsibly without wasting them heard about them in class a few times seems like a standard procedure for universities now, um also have some initiatives bringing my own reusable bag when i remember to convenience is the main factor for most students maybe put more signs to remind people no comment",using resource responsibly without wasting them heard about them in class a few time seems like a standard procedure for university now um also have some initiative bringing my own reusable bag when i remember to convenience is the main factor for most student maybe put more sign to remind people no comment,2,positive,['Other'],using resource responsibly wasting heard class time like standard procedure university um initiative bringing reusable bag remember convenience main factor student maybe sign remind people comment
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,trying to maintain a balance between using and saving limited resources,just familiar with the term sustainable development,i see some recycling bins so thats something,3,using e-wallet to reduce paper receipts,No,rushing to class makes us choose convenience,improve the bus frequency a little bit,nothing specific,trying to maintain a balance between using and saving limited resources just familiar with the term sustainable development i see some recycling bins so thats something using e-wallet to reduce paper receipts rushing to class makes us choose convenience improve the bus frequency a little bit nothing specific,trying to maintain a balance between using and saving limited resource just familiar with the term sustainable development i see some recycling bin so thats something using ewallet to reduce paper receipt rushing to class make u choose convenience improve the bus frequency a little bit nothing specific,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",trying maintain balance using saving limited resource just familiar term sustainable development recycling bin thats using ewallet reduce paper receipt rushing class make u choose convenience improve bus frequency little bit specific
"Yes, I agree",Faculty of Science,Year 1,just another trend universities are hopping on,i dont really know much about it,feel like its just for ranking,2,i buy water bottles cause the water cooler is dirty,No,bus never comes on time so we use cars,stop the act and show real results,not very impressed so far,just another trend universities are hopping on i dont really know much about it feel like its just for ranking i buy water bottles cause the water cooler is dirty bus never comes on time so we use cars stop the act and show real results not very impressed so far,just another trend university are hopping on i dont really know much about it feel like it just for ranking i buy water bottle cause the water cooler is dirty bus never come on time so we use car stop the act and show real result not very impressed so far,0,negative,"['SDG 6: Clean Water and Sanitation', 'SDG 11: Sustainable Cities and Communities']",just trend university hopping dont really know feel like just ranking buy water bottle cause water cooler dirty bus come time use car stop act real result impressed far
"Yes, I agree",Faculty of Science,Year 1,something good towards the environment,"not really, only saw big banners about it",feels like some fake effort,1,i drive everywhere because the bus system fails,No,water coolers are mouldy and never used it,improve on the bus system,very unhappy with the current state,"something good towards the environment not really, only saw big banners about it feels like some fake effort i drive everywhere because the bus system fails water coolers are mouldy and never used it improve on the bus system very unhappy with the current state",something good towards the environment not really only saw big banner about it feel like some fake effort i drive everywhere because the bus system fails water cooler are mouldy and never used it improve on the bus system very unhappy with the current state,2,positive,"['SDG 6: Clean Water and Sanitation', 'SDG 11: Sustainable Cities and Communities']",good environment really saw big banner feel like fake effort drive bus fails water cooler mouldy used improve bus unhappy current state
"Yes, I agree",Faculty of Sport and Exercise Sciences,Year 1,it means being a responsible student who cares about nature,very good roadmap for the whole world to follow,the zero single use plastic campaign is actually working well,4,i tell my friends to recycle properly,Not sure,the only challenge is getting everyone else excited too,start a green club on campus,no comment,it means being a responsible student who cares about nature very good roadmap for the whole world to follow the zero single use plastic campaign is actually working well i tell my friends to recycle properly the only challenge is getting everyone else excited too start a green club on campus no comment,it mean being a responsible student who care about nature very good roadmap for the whole world to follow the zero single use plastic campaign is actually working well i tell my friend to recycle properly the only challenge is getting everyone else excited too start a green club on campus no comment,2,positive,"['SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 15: Life on Land']",mean responsible student care nature good roadmap world follow zero single use plastic campaign actually working tell friend recycle properly challenge getting excited start green club campus comment
"Yes, I agree",Faculty of Sport and Exercise Sciences,Year 2,being responsible for our rubbish and energy use,i know about the 17 goals of sdg ,i really like what um is doing so far,5,i bring my own food container to tapau food,No,maybe just need more bins because we recycle a lot,make more cool videos about saving earth,lets save the world together,being responsible for our rubbish and energy use i know about the 17 goals of sdg  i really like what um is doing so far i bring my own food container to tapau food maybe just need more bins because we recycle a lot make more cool videos about saving earth lets save the world together,being responsible for our rubbish and energy use i know about the 17 goal of sdg i really like what um is doing so far i bring my own food container to tapau food maybe just need more bin because we recycle a lot make more cool video about saving earth let save the world together,2,positive,"['SDG 7: Affordable and Clean Energy', 'SDG 12: Responsible Consumption and Production', 'SDG 17: Partnerships for the Goals']",responsible rubbish energy use know 17 goal sdg really like um doing far bring food container tapau food maybe just need bin recycle lot make cool video saving earth let save world
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,finding a balance in how we use energy and stuff,heard the term before but dont know specific goals,fairly average compared to what i see online,3,i switch off the light and fan when i go out mostly,No,just daily inconvenience sometimes,put more general waste bins too not just recycle,its okay,finding a balance in how we use energy and stuff heard the term before but dont know specific goals fairly average compared to what i see online i switch off the light and fan when i go out mostly just daily inconvenience sometimes put more general waste bins too not just recycle its okay,finding a balance in how we use energy and stuff heard the term before but dont know specific goal fairly average compared to what i see online i switch off the light and fan when i go out mostly just daily inconvenience sometimes put more general waste bin too not just recycle it okay,2,positive,"['SDG 7: Affordable and Clean Energy', 'SDG 12: Responsible Consumption and Production']",finding balance use energy stuff heard term dont know specific goal fairly average compared online switch light fan just daily inconvenience general waste bin just recycle okay
"Yes, I agree",Faculty of Medicine,Year 1,just making sure we dont mess up the environment too much,know it includes things like clean water and energy,it is satisfactory for now but can improve,3,just general waste reduction where possible,No,bus timings are not always reliable for us,remind students periodically about the goals,hope this is useful,just making sure we dont mess up the environment too much know it includes things like clean water and energy it is satisfactory for now but can improve just general waste reduction where possible bus timings are not always reliable for us remind students periodically about the goals hope this is useful,just making sure we dont mess up the environment too much know it includes thing like clean water and energy it is satisfactory for now but can improve just general waste reduction where possible bus timing are not always reliable for u remind student periodically about the goal hope this is useful,2,positive,"['SDG 6: Clean Water and Sanitation', 'SDG 7: Affordable and Clean Energy', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",just making sure dont mess environment know includes thing like clean water energy satisfactory improve just general waste reduction possible bus timing reliable u remind student periodically goal hope useful
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,trying to keep the campus clean and functional,general knowledge about social and environmental goals,generally okay i suppose no strong feelings,3,i try to recycle paper and plastic bottles,Yes,recycling bins can be hard to locate sometimes,provide more consistent information,no comment,trying to keep the campus clean and functional general knowledge about social and environmental goals generally okay i suppose no strong feelings i try to recycle paper and plastic bottles recycling bins can be hard to locate sometimes provide more consistent information no comment,trying to keep the campus clean and functional general knowledge about social and environmental goal generally okay i suppose no strong feeling i try to recycle paper and plastic bottle recycling bin can be hard to locate sometimes provide more consistent information no comment,2,positive,"['SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action']",trying campus clean functional general knowledge social environmental goal generally okay suppose strong feeling try recycle paper plastic bottle recycling bin hard locate provide consistent information comment
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,balancing our daily needs with environmental care,basic idea is to improve the world generally,they have some good points and some bad points,4,avoiding plastic cutlery when eating out,No,limited options for eco friendly food packaging,maybe add more covered walkways for pedestrians,just okay,balancing our daily needs with environmental care basic idea is to improve the world generally they have some good points and some bad points avoiding plastic cutlery when eating out limited options for eco friendly food packaging maybe add more covered walkways for pedestrians just okay,balancing our daily need with environmental care basic idea is to improve the world generally they have some good point and some bad point avoiding plastic cutlery when eating out limited option for eco friendly food packaging maybe add more covered walkway for pedestrian just okay,2,positive,"['SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action']",balancing daily need environmental care basic idea improve world generally good point bad point avoiding plastic cutlery eating limited option eco friendly food packaging maybe add covered walkway pedestrian just okay
"Yes, I agree",Faculty of Law,Year 2,being conscious of the impact of our actions,aware that it exists but not the specific details,seems like standard operating procedure mostly,3,"i carry a water bottle to avoid buying plastic, does that count?",No,weather conditions affect walking habits,standardize the bins across all faculties,no,"being conscious of the impact of our actions aware that it exists but not the specific details seems like standard operating procedure mostly i carry a water bottle to avoid buying plastic, does that count? weather conditions affect walking habits standardize the bins across all faculties no",being conscious of the impact of our action aware that it exists but not the specific detail seems like standard operating procedure mostly i carry a water bottle to avoid buying plastic doe that count weather condition affect walking habit standardize the bin across all faculty no,1,neutral,"['SDG 6: Clean Water and Sanitation', 'SDG 12: Responsible Consumption and Production']",conscious impact action aware exists specific like standard operating procedure carry water bottle avoid buying plastic doe count weather condition affect walking habit standardize bin faculty
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 2,it implies not being wasteful with what we have,know a few of them like no poverty and hunger,average performance i havent seen anything wow,4,switching off electric switches when leaving the room,No,just the general hassle of separating waste,improve the reliability of the shuttle bus,just ok,it implies not being wasteful with what we have know a few of them like no poverty and hunger average performance i havent seen anything wow switching off electric switches when leaving the room just the general hassle of separating waste improve the reliability of the shuttle bus just ok,it implies not being wasteful with what we have know a few of them like no poverty and hunger average performance i havent seen anything wow switching off electric switch when leaving the room just the general hassle of separating waste improve the reliability of the shuttle bus just ok,2,positive,"['SDG 1: No Poverty', 'SDG 2: Zero Hunger', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",implies wasteful know like poverty hunger average performance havent seen wow switching electric switch leaving room just general hassle separating waste improve reliability shuttle bus just ok
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,sustainability is about long term viability i think,its UN's goal or somthing,efforts are visible but impact is hard to measure,4,walking to nearby places instead of driving,No,lack of clear signs on what goes where,make recycling stations more accessible,no ,sustainability is about long term viability i think its UN's goal or somthing efforts are visible but impact is hard to measure walking to nearby places instead of driving lack of clear signs on what goes where make recycling stations more accessible no ,sustainability is about long term viability i think it un goal or somthing effort are visible but impact is hard to measure walking to nearby place instead of driving lack of clear sign on what go where make recycling station more accessible no,2,positive,['SDG 12: Responsible Consumption and Production'],sustainability long term viability think goal somthing effort visible impact hard measure walking nearby place instead driving lack clear sign make recycling station accessible
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,honestly just means we stop wasting so much stuff and keep the campus clean for the next batch of students,i know its about the 17 goals from the united nations but i cant really name all of them maybe just climate action,they put a lot of posters up but i dont see much real changes happening on the ground level to be honest,3,i try to bring my own bottle so i dont buy plastic ones every day and sometimes i walk to class if its not raining,No,its just inconvenient sometimes like the recycling bins are far away or full so we just throw in the normal bin,make it easier for us maybe put more bins everywhere and give points if we use them,no comment just hope it gets better,honestly just means we stop wasting so much stuff and keep the campus clean for the next batch of students i know its about the 17 goals from the united nations but i cant really name all of them maybe just climate action they put a lot of posters up but i dont see much real changes happening on the ground level to be honest i try to bring my own bottle so i dont buy plastic ones every day and sometimes i walk to class if its not raining its just inconvenient sometimes like the recycling bins are far away or full so we just throw in the normal bin make it easier for us maybe put more bins everywhere and give points if we use them no comment just hope it gets better,honestly just mean we stop wasting so much stuff and keep the campus clean for the next batch of student i know it about the 17 goal from the united nation but i cant really name all of them maybe just climate action they put a lot of poster up but i dont see much real change happening on the ground level to be honest i try to bring my own bottle so i dont buy plastic one every day and sometimes i walk to class if it not raining it just inconvenient sometimes like the recycling bin are far away or full so we just throw in the normal bin make it easier for u maybe put more bin everywhere and give point if we use them no comment just hope it get better,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action']",honestly just mean stop wasting stuff campus clean batch student know 17 goal united nation really maybe just climate action lot poster dont real change happening ground level honest try bring bottle dont buy plastic day walk class raining just inconvenient like recycling bin far away just throw normal bin make easier u maybe bin point use comment just hope better
"Yes, I agree",Faculty of Arts and Social Sciences,Year 1,basically just living in a way that doesnt harm the environment too much so future generations can survive,i honestly dont know much about it just seen the colorful square logo around the library,i think they are trying quite hard because i see many campaigns but maybe students just ignore them,4,i mostly use e-wallet so i dont waste paper receipts and i try to switch off the fan when i go out,No,peer pressure i guess because if nobody else is doing it you feel weird to be the only one recycling,maybe do more fun challenges on tiktok or instagram so students actually want to join in,nothing much just good luck with your research,basically just living in a way that doesnt harm the environment too much so future generations can survive i honestly dont know much about it just seen the colorful square logo around the library i think they are trying quite hard because i see many campaigns but maybe students just ignore them i mostly use e-wallet so i dont waste paper receipts and i try to switch off the fan when i go out peer pressure i guess because if nobody else is doing it you feel weird to be the only one recycling maybe do more fun challenges on tiktok or instagram so students actually want to join in nothing much just good luck with your research,basically just living in a way that doesnt harm the environment too much so future generation can survive i honestly dont know much about it just seen the colorful square logo around the library i think they are trying quite hard because i see many campaign but maybe student just ignore them i mostly use ewallet so i dont waste paper receipt and i try to switch off the fan when i go out peer pressure i guess because if nobody else is doing it you feel weird to be the only one recycling maybe do more fun challenge on tiktok or instagram so student actually want to join in nothing much just good luck with your research,2,positive,"['SDG 4: Quality Education', 'SDG 9: Industry, Innovation and Infrastructure', 'SDG 12: Responsible Consumption and Production', 'SDG 14: Life Below Water']",basically just living way doesnt harm environment future generation survive honestly dont know just seen colorful square logo library think trying quite hard campaign maybe student just ignore use ewallet dont waste paper receipt try switch fan peer pressure guess doing feel weird recycling maybe fun challenge tiktok instagram student actually want join just good luck research
"Yes, I agree",Faculty of Engineering,Year 3,just a trend that people follow blindly i dont really care much to be honest,seen the posters but looks boring so i never read them carefully,wayang only just for show but nothing actually works properly like the recycling bins are always overflowing,2,i still use plastic straws cause the paper ones get soggy and gross and i drive to class,No,everything is inconvenient and expensive for students we just want the cheapest and fastest option,stop spending money on banners and fix the toilets please that is more sustainable,not really just disappointed with the facilities,just a trend that people follow blindly i dont really care much to be honest seen the posters but looks boring so i never read them carefully wayang only just for show but nothing actually works properly like the recycling bins are always overflowing i still use plastic straws cause the paper ones get soggy and gross and i drive to class everything is inconvenient and expensive for students we just want the cheapest and fastest option stop spending money on banners and fix the toilets please that is more sustainable not really just disappointed with the facilities,just a trend that people follow blindly i dont really care much to be honest seen the poster but look boring so i never read them carefully wayang only just for show but nothing actually work properly like the recycling bin are always overflowing i still use plastic straw cause the paper one get soggy and gross and i drive to class everything is inconvenient and expensive for student we just want the cheapest and fastest option stop spending money on banner and fix the toilet please that is more sustainable not really just disappointed with the facility,0,negative,"['SDG 6: Clean Water and Sanitation', 'SDG 12: Responsible Consumption and Production']",just trend people follow blindly dont really care honest seen poster look boring read carefully wayang just actually work properly like recycling bin overflowing use plastic straw cause paper soggy gross drive class inconvenient expensive student just want cheapest fastest option stop spending money banner fix toilet sustainable really just disappointed facility
"Yes, I agree",Faculty of Built Environment,Year 4,keeping the environment safe so we can live happily later without destroying the planet,i know about goal 11 sustainable cities and communities mostly because of my course,really good progress especially with the electric buses running now i think it is great,5,i use the mrt and bus to come to campus no car at all and i bring my own container for lunch,Yes,sometimes the weather is too hot to walk to the recycling center so people just throw in the nearest bin,maybe can plant more fruit trees around the residential colleges so we can eat local fruits,proud to be a student here keep it up,keeping the environment safe so we can live happily later without destroying the planet i know about goal 11 sustainable cities and communities mostly because of my course really good progress especially with the electric buses running now i think it is great i use the mrt and bus to come to campus no car at all and i bring my own container for lunch sometimes the weather is too hot to walk to the recycling center so people just throw in the nearest bin maybe can plant more fruit trees around the residential colleges so we can eat local fruits proud to be a student here keep it up,keeping the environment safe so we can live happily later without destroying the planet i know about goal 11 sustainable city and community mostly because of my course really good progress especially with the electric bus running now i think it is great i use the mrt and bus to come to campus no car at all and i bring my own container for lunch sometimes the weather is too hot to walk to the recycling center so people just throw in the nearest bin maybe can plant more fruit tree around the residential college so we can eat local fruit proud to be a student here keep it up,2,positive,"['SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",keeping environment safe live happily later destroying planet know goal 11 sustainable city community course really good progress especially electric bus running think great use mrt bus come campus car bring container lunch weather hot walk recycling center people just throw nearest bin maybe plant fruit tree residential college eat local fruit proud student
"Yes, I agree",Faculty of Business and Economics,Year 2,not depleting our resources so that others can use it too basically,i think there are like 17 goals set by un but i only know the no poverty one,its decent i guess i see the recycling bins around but sometimes they are not emptied on time,3,i try to print double sided whenever i have assignments to hand in and i turn off the lights when leaving the room,No,mostly just laziness and convenience because its easier to just throw everything in one bin when you are rushing,maybe have more water refill stations so we dont have to buy plastic bottles all the time,no comment really just hope it improves,not depleting our resources so that others can use it too basically i think there are like 17 goals set by un but i only know the no poverty one its decent i guess i see the recycling bins around but sometimes they are not emptied on time i try to print double sided whenever i have assignments to hand in and i turn off the lights when leaving the room mostly just laziness and convenience because its easier to just throw everything in one bin when you are rushing maybe have more water refill stations so we dont have to buy plastic bottles all the time no comment really just hope it improves,not depleting our resource so that others can use it too basically i think there are like 17 goal set by un but i only know the no poverty one it decent i guess i see the recycling bin around but sometimes they are not emptied on time i try to print double sided whenever i have assignment to hand in and i turn off the light when leaving the room mostly just laziness and convenience because it easier to just throw everything in one bin when you are rushing maybe have more water refill station so we dont have to buy plastic bottle all the time no comment really just hope it improves,1,neutral,"['SDG 1: No Poverty', 'SDG 6: Clean Water and Sanitation', 'SDG 12: Responsible Consumption and Production']",depleting resource use basically think like 17 goal set know poverty decent guess recycling bin emptied time try print double sided assignment hand turn light leaving room just laziness convenience easier just throw bin rushing maybe water refill station dont buy plastic bottle time comment really just hope improves
"Yes, I agree",Faculty of Language and Linguistics,Year 3,just trying to live without wasting too much stuff like water and electricity,i heard about it in my elective class something about climate action and clean water,its okay i guess i see the recycling bins but not sure if they actually recycle the stuff,3,i bring my own bag when i go to kk mart so i dont have to pay 20 sen,No,honestly sometimes we just forget or are too lazy to find the right bin when in a rush,maybe put more clear signs on the bins so we know which one is for what exactly,nothing really just hope it gets better,just trying to live without wasting too much stuff like water and electricity i heard about it in my elective class something about climate action and clean water its okay i guess i see the recycling bins but not sure if they actually recycle the stuff i bring my own bag when i go to kk mart so i dont have to pay 20 sen honestly sometimes we just forget or are too lazy to find the right bin when in a rush maybe put more clear signs on the bins so we know which one is for what exactly nothing really just hope it gets better,just trying to live without wasting too much stuff like water and electricity i heard about it in my elective class something about climate action and clean water it okay i guess i see the recycling bin but not sure if they actually recycle the stuff i bring my own bag when i go to kk mart so i dont have to pay 20 sen honestly sometimes we just forget or are too lazy to find the right bin when in a rush maybe put more clear sign on the bin so we know which one is for what exactly nothing really just hope it get better,1,neutral,"['SDG 6: Clean Water and Sanitation', 'SDG 7: Affordable and Clean Energy', 'SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action']",just trying live wasting stuff like water electricity heard elective class climate action clean water okay guess recycling bin sure actually recycle stuff bring bag kk mart dont pay 20 sen honestly just forget lazy right bin rush maybe clear sign bin know exactly really just hope better
"Yes, I agree",Faculty of Language and Linguistics,Year 1,taking care of the earth so we can live better in the future without destroying everything,heard about them in high school like zero hunger and quality education mostly,quite good actually i see lots of green initiatives around the campus which is nice,4,i use a reusable water bottle to save money and plastic and i take the bus,Yes,sometimes the recycling bins are full so we cant use them properly and just throw in normal bin,put more bins in the hallways please so its easier for us to recycle between classes,happy to be here thanks,taking care of the earth so we can live better in the future without destroying everything heard about them in high school like zero hunger and quality education mostly quite good actually i see lots of green initiatives around the campus which is nice i use a reusable water bottle to save money and plastic and i take the bus sometimes the recycling bins are full so we cant use them properly and just throw in normal bin put more bins in the hallways please so its easier for us to recycle between classes happy to be here thanks,taking care of the earth so we can live better in the future without destroying everything heard about them in high school like zero hunger and quality education mostly quite good actually i see lot of green initiative around the campus which is nice i use a reusable water bottle to save money and plastic and i take the bus sometimes the recycling bin are full so we cant use them properly and just throw in normal bin put more bin in the hallway please so it easier for u to recycle between class happy to be here thanks,2,positive,"['SDG 2: Zero Hunger', 'SDG 4: Quality Education', 'SDG 6: Clean Water and Sanitation', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",taking care earth live better future destroying heard high school like zero hunger quality education quite good actually lot green initiative campus nice use reusable water bottle save money plastic bus recycling bin use properly just throw normal bin bin hallway easier u recycle class happy thanks
"Yes, I agree",Faculty of Pharmacy,Year 4,balancing our needs so we dont destroy nature for the future generation,i know about the good health and well being goal because i study medicine,they are doing quite well i see many recycling bins around the hospital area,4,i bring my own container for lunch to avoid plastic waste and i walk when i can,Yes,sometimes the bins are full and nobody collects them so it looks messy and smells bad,maybe organize more talks about how climate change affects our health to scare people a bit haha,keep it up um,balancing our needs so we dont destroy nature for the future generation i know about the good health and well being goal because i study medicine they are doing quite well i see many recycling bins around the hospital area i bring my own container for lunch to avoid plastic waste and i walk when i can sometimes the bins are full and nobody collects them so it looks messy and smells bad maybe organize more talks about how climate change affects our health to scare people a bit haha keep it up um,balancing our need so we dont destroy nature for the future generation i know about the good health and well being goal because i study medicine they are doing quite well i see many recycling bin around the hospital area i bring my own container for lunch to avoid plastic waste and i walk when i can sometimes the bin are full and nobody collect them so it look messy and smell bad maybe organize more talk about how climate change affect our health to scare people a bit haha keep it up um,2,positive,"['SDG 3: Good Health and Well-being', 'SDG 4: Quality Education', 'SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action', 'SDG 15: Life on Land']",balancing need dont destroy nature future generation know good health goal study medicine doing quite recycling bin hospital area bring container lunch avoid plastic waste walk bin collect look messy smell bad maybe organize talk climate change affect health scare people bit haha um
"Yes, I agree",Faculty of Engineering,Year 1,honestly it feels like just another rule we have to follow without understanding why,i know there are 17 goals because i saw the posters but i cant name them specifically,feels a bit like greenwashing sometimes because they talk a lot but the facilities are old and broken,2,i buy mineral water because the water coolers look dirty and i dont trust them so i generate plastic waste sorry,No,the cost is high usually eco friendly food is more expensive and students are broke,maintain the water filters properly so we can stop buying plastic bottles please,fix the basics first before talking about saving the world,honestly it feels like just another rule we have to follow without understanding why i know there are 17 goals because i saw the posters but i cant name them specifically feels a bit like greenwashing sometimes because they talk a lot but the facilities are old and broken i buy mineral water because the water coolers look dirty and i dont trust them so i generate plastic waste sorry the cost is high usually eco friendly food is more expensive and students are broke maintain the water filters properly so we can stop buying plastic bottles please fix the basics first before talking about saving the world,honestly it feel like just another rule we have to follow without understanding why i know there are 17 goal because i saw the poster but i cant name them specifically feel a bit like greenwashing sometimes because they talk a lot but the facility are old and broken i buy mineral water because the water cooler look dirty and i dont trust them so i generate plastic waste sorry the cost is high usually eco friendly food is more expensive and student are broke maintain the water filter properly so we can stop buying plastic bottle please fix the basic first before talking about saving the world,2,positive,"['SDG 4: Quality Education', 'SDG 6: Clean Water and Sanitation', 'SDG 12: Responsible Consumption and Production']",honestly feel like just rule follow understanding know 17 goal saw poster specifically feel bit like greenwashing talk lot facility old broken buy mineral water water cooler look dirty dont trust generate plastic waste sorry cost high usually eco friendly food expensive student broke maintain water filter properly stop buying plastic bottle fix basic talking saving world
"Yes, I agree",Faculty of Business and Economics,Year 2,using resources wisely so we dont run out later and keeping the campus clean,heard about them in a lecture once but forgot the details to be honest,its fifty fifty some things are good like the electric bus but the toilets are still quite bad,3,i try to save electricity by turning off the lights in the lab when nobody is using it,No,sometimes the recycling bins are confusingly labeled so we dont know where to throw plastic or paper,make the labels clearer on the bins so we dont mix the trash up,hope the campus gets cleaner soon,using resources wisely so we dont run out later and keeping the campus clean heard about them in a lecture once but forgot the details to be honest its fifty fifty some things are good like the electric bus but the toilets are still quite bad i try to save electricity by turning off the lights in the lab when nobody is using it sometimes the recycling bins are confusingly labeled so we dont know where to throw plastic or paper make the labels clearer on the bins so we dont mix the trash up hope the campus gets cleaner soon,using resource wisely so we dont run out later and keeping the campus clean heard about them in a lecture once but forgot the detail to be honest it fifty fifty some thing are good like the electric bus but the toilet are still quite bad i try to save electricity by turning off the light in the lab when nobody is using it sometimes the recycling bin are confusingly labeled so we dont know where to throw plastic or paper make the label clearer on the bin so we dont mix the trash up hope the campus get cleaner soon,2,positive,"['SDG 6: Clean Water and Sanitation', 'SDG 7: Affordable and Clean Energy', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",using resource wisely dont run later keeping campus clean heard lecture forgot honest thing good like electric bus toilet quite bad try save electricity turning light lab using recycling bin confusingly labeled dont know throw plastic paper make label clearer bin dont mix trash hope campus cleaner soon
"Yes, I agree",Faculty of Education,Year 3,ensuring we have enough resources left for the children we will teach later and keeping the environment healthy,i know specifically about sdg 4 quality education because our lecturers mention it all the time in class,they are doing a good job trying to educate us about it but the actual implementation on campus is a bit slow,4,i use my ipad for all my notes so i dont create any paper waste and i take the shuttle bus,Yes,old habits are hard to break especially for students who are used to just throwing things away without thinking,maybe have more workshops on how to apply sdg values in our daily lives not just theory,education is the most important tool to solve this i think,ensuring we have enough resources left for the children we will teach later and keeping the environment healthy i know specifically about sdg 4 quality education because our lecturers mention it all the time in class they are doing a good job trying to educate us about it but the actual implementation on campus is a bit slow i use my ipad for all my notes so i dont create any paper waste and i take the shuttle bus old habits are hard to break especially for students who are used to just throwing things away without thinking maybe have more workshops on how to apply sdg values in our daily lives not just theory education is the most important tool to solve this i think,ensuring we have enough resource left for the child we will teach later and keeping the environment healthy i know specifically about sdg 4 quality education because our lecturer mention it all the time in class they are doing a good job trying to educate u about it but the actual implementation on campus is a bit slow i use my ipad for all my note so i dont create any paper waste and i take the shuttle bus old habit are hard to break especially for student who are used to just throwing thing away without thinking maybe have more workshop on how to apply sdg value in our daily life not just theory education is the most important tool to solve this i think,2,positive,"['SDG 3: Good Health and Well-being', 'SDG 4: Quality Education', 'SDG 8: Decent Work and Economic Growth', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",ensuring resource left child teach later keeping environment healthy know specifically sdg 4 quality education lecturer mention time class doing good job trying educate u actual implementation campus bit slow use ipad note dont create paper waste shuttle bus old habit hard break especially student used just throwing thing away thinking maybe workshop apply sdg value daily life just theory education important tool solve think
